;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Shingeki no Kyojin;https://myanimelist.net/anime/16498/Shingeki_no_Kyojin;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Apr 7, 2013 to Sep 29, 2013;25;TV;Manga;['Action', 'Award Winning', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];Shounen;['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise'];Wit Studio;Funimation;['Kaji, Yuuki', 'Ishikawa, Yui', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou', 'Shimamura, Yuu'];[{'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Nakatake, Tetsuya', 'role': 'Producer'}, {'name': 'Furukawa, Makoto', 'role': 'Producer'}, {'name': 'Kinoshita, Tetsuya', 'role': 'Producer'}];8.53;#110;R - 17+ (violence & profanity);161,524;#1;3,688,927;['Crunchyroll', 'Funimation', '', ''];Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.  After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.  [Written by MAL Rewrite];AoT, SnK;進撃の巨人
1;Death Note;https://myanimelist.net/anime/1535/Death_Note;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Oct 4, 2006 to Jun 27, 2007;37;TV;Manga;['Supernatural', 'Suspense'];['Detective', 'Psychological'];Shounen;['VAP', 'Konami', 'Ashi Productions', 'Nippon Television Network', 'Shueisha'];Madhouse;VIZ Media;['Yamaguchi, Kappei', 'Miyano, Mamoru', 'Nakamura, Shidou', 'Hirano, Aya', 'Hidaka, Noriko', 'Sasaki, Nozomu', 'Naitou, Ryou', 'Nishimura, Tomohiro', 'Matsukaze, Masaya', 'Saitou, Kimiko'];[{'name': 'Maruyama, Masao', 'role': 'Producer'}, {'name': 'Tamura, Manabu', 'role': 'Producer'}, {'name': 'Nakatani, Toshio', 'role': 'Producer'}, {'name': 'Hashimoto, Kentarou', 'role': 'Producer'}];8.62;#79;R - 17+ (violence & profanity);165,597;#2;3,660,039;['Crunchyroll', 'Funimation', '', ''];Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.  For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.  Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.  [Written by MAL Rewrite];DN;デスノート
2;Shingeki no Kyojin Season 2;https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 1, 2017 to Jun 17, 2017;12;TV;Manga;['Action', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];Shounen;['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise'];Wit Studio;Funimation;['Kaji, Yuuki', 'Ishikawa, Yui', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou', 'Shimamura, Yuu'];[{'name': 'Yabuta, Shuuhei', 'role': 'Producer'}, {'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Nakatake, Tetsuya', 'role': 'Producer'}, {'name': 'Kinoshita, Tetsuya', 'role': 'Producer'}];8.50;#130;R - 17+ (violence & profanity);20,650;#12;2,523,766;['Crunchyroll', 'Netflix', ''];For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.  In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.  [Written by MAL Rewrite];NOT_EXIST;進撃の巨人 Season2
3;"Steins;Gate";https://myanimelist.net/anime/9253/Steins_Gate;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Apr 6, 2011 to Sep 14, 2011;24;TV;Visual novel;['Drama', 'Sci-Fi', 'Suspense'];['Psychological', 'Time Travel'];NOT_EXIST;['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus'];White Fox;Funimation;['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu', 'Tamura, Yukari', 'Kobayashi, Yuu', 'Momoi, Haruko', 'Gotou, Saori', 'Terasoma, Masaki', 'Yamamoto, Ayano'];[{'name': 'Cook, Justin', 'role': 'Producer'}, {'name': 'Iwasa, Gaku', 'role': 'Producer'}, {'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Yasuda, Takeshi', 'role': 'Producer, Planning'}];9.08;#4;PG-13 - Teens 13 or older;180,715;#13;2,402,177;['Crunchyroll', 'Funimation', ''];"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Rintarou founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.  However, when Rintarou decides to attend neuroscientist Kurisu Makise's conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Rintarou dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.  Due to the novel discovery, Rintarou and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, he is not only fighting a battle to save his loved ones, but also one against his degrading sanity.  [Written by MAL Rewrite]";NOT_EXIST;"STEINS;GATE"
4;Re:Zero kara Hajimeru Isekai Seikatsu;https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;25 min. per ep.;Finished Airing;Apr 4, 2016 to Sep 19, 2016;25;TV;Light novel;['Drama', 'Fantasy', 'Suspense'];['Isekai', 'Psychological', 'Time Travel'];NOT_EXIST;['TV Tokyo', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Memory-Tech', 'Hakuhodo DY Music & Pictures'];White Fox;Funimation;['Takahashi, Rie', 'Kobayashi, Yuusuke', 'Minase, Inori', 'Arai, Satomi', 'Murakawa, Rie', 'Horie, Yui', 'Matsuoka, Yoshitsugu', 'Amasaki, Kouhei', 'Uchiyama, Yumi', 'Iguchi, Yuka'];[{'name': 'Iizuka, Aya', 'role': 'Producer'}, {'name': 'Tanaka, Shou', 'role': 'Producer'}, {'name': 'Watanabe, Masaharu', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}];8.24;#303;R - 17+ (violence & profanity);63,962;#24;2,061,764;['Crunchyroll', 'Netflix'];"When Subaru Natsuki leaves the convenience store, the last thing he expects is to be wrenched from his everyday life and dropped into a fantasy world. Things are not looking good for the bewildered teenager; however, not long after his arrival, he is attacked by some thugs. Armed with only a bag of groceries and a now useless cell phone, he is quickly beaten to a pulp. Fortunately, a mysterious beauty named Satella, in hot pursuit after the one who stole her insignia, happens upon Subaru and saves him. In order to thank the honest and kindhearted girl, Subaru offers to help in her search, and later that night, he even finds the whereabouts of that which she seeks. But unbeknownst to them, a much darker force stalks the pair from the shadows, and just minutes after locating the insignia, Subaru and Satella are brutally murdered.  However, Subaru immediately reawakens to a familiar scene—confronted by the same group of thugs, meeting Satella all over again—the enigma deepens as history inexplicably repeats itself.  [Written by MAL Rewrite]";Re: Life in a different world from zero, Re:Zero, ReZero;Re：ゼロから始める異世界生活
5;Boku dake ga Inai Machi;https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Jan 8, 2016 to Mar 25, 2016;12;TV;Manga;['Mystery', 'Supernatural', 'Suspense'];['Psychological', 'Time Travel'];Seinen;['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one'];A-1 Pictures;Aniplex of America;['Mitsushima, Shinnosuke', 'Yuuki, Aoi', 'Takayama, Minami', 'Taichi, You', 'Akasaki, Chinatsu', 'Miyamoto, Mitsuru', 'Kitou, Akari', 'Mizushima, Takahiro', 'Okamura, Akemi', 'Nanase, Ayaka'];[{'name': 'Suzuki, Kenta', 'role': 'Producer'}, {'name': 'Itou, Tomohiko', 'role': 'Director'}, {'name': 'Iwanami, Yoshikazu', 'role': 'Sound Director'}, {'name': 'Ishii, Toshimasa', 'role': 'Episode Director, Storyboard, Assistant Director'}];8.31;#241;R - 17+ (violence & profanity);46,119;#30;1,964,975;['Crunchyroll', 'Funimation', ''];"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives.  However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right.  Boku dake ga Inai Machi follows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present.  [Written by MAL Rewrite]";The Town Where Only I am Missing, BokuMachi;僕だけがいない街
6;Mirai Nikki (TV);https://myanimelist.net/anime/10620/Mirai_Nikki_TV;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Oct 9, 2011 to Apr 15, 2012;26;TV;Manga;['Action', 'Supernatural', 'Suspense'];['Gore', 'High Stakes Game', 'Psychological', 'Survival'];Shounen;['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create'];asread.;Funimation;['Murata, Tomosa', 'Togashi, Misuzu', 'Aizawa, Mai', 'Ishida, Akira', 'Kawahara, Yoshihisa', 'Honda, Manami', 'Wakamoto, Norio', 'Sendai, Eri', 'Sanada, Asami', 'Seki, Tomokazu'];[{'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Hosoda, Naoto', 'role': 'Director'}, {'name': 'Nagura, Yasushi', 'role': 'Sound Director'}, {'name': 'Takashima, Daisuke', 'role': 'Episode Director'}];7.42;#2023;R+ - Mild Nudity;30,021;#32;1,927,781;['Crunchyroll', 'Funimation'];"Yukiteru Amano is a shy middle schooler who regularly keeps track of what he does in his daily life by writing down all of his activities on his phone—a digital diary. Despite having no friends at school, Yukiteru is frequently seen talking to his supposedly imaginary friends Deus Ex Machina, the god of time and space; and Deus' servant, Mur Mur.  One day, Yukiteru wakes up and discovers that certain events of his day are preemptively displayed on his cellphone. While initially dismissing it as a coincidence, he slowly realizes that the incidents written in his phone actually take place in the near future. After spending the day benefiting from this new asset, Yukiteru learns that his classmate Yuno Gasai possesses a similar diary.  As the two team up to defeat an odd pursuer and head back to their respective homes, Deus Ex Machina explains that they—alongside 10 other contestants—have been drawn into a survival game whose victor will become the deity's successor. With no other options, Yukiteru and Yuno must use their cellphones—now called ""Future Diaries""—to survive this unforgiving battle royale.  [Written by MAL Rewrite]";Mirai Nikki, Mirai Nikki (2011);未来日記
7;Yakusoku no Neverland;https://myanimelist.net/anime/37779/Yakusoku_no_Neverland;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;22 min. per ep.;Finished Airing;Jan 10, 2019 to Mar 29, 2019;12;TV;Manga;['Mystery', 'Sci-Fi', 'Suspense'];['Psychological', 'Survival'];Shounen;['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund'];CloverWorks;Aniplex of America;['Ise, Mariya', 'Uchida, Maaya', 'Morohoshi, Sumire', 'Kouno, Hiyori', 'Kaida, Yuuko', 'Fujita, Nao', 'Lynn', 'Ueki, Shinei', 'Ozawa, Ari', 'Kayano, Ai'];[{'name': 'Fukushima, Yuuichi', 'role': 'Producer'}, {'name': 'Suzuki, Kenta', 'role': 'Producer'}, {'name': 'Kanbe, Mamoru', 'role': 'Director, Storyboard'}, {'name': 'Shimizu, Katsunori', 'role': 'Sound Director'}];8.52;#115;R - 17+ (violence & profanity);32,039;#38;1,835,914;['Crunchyroll', 'Funimation', '', '', ''];"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage—a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family, never to be heard from again.  However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.  [Written by MAL Rewrite]";NOT_EXIST;約束のネバーランド
8;Neon Genesis Evangelion;https://myanimelist.net/anime/30/Neon_Genesis_Evangelion;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Oct 4, 1995 to Mar 27, 1996;26;TV;Original;['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense'];['Mecha', 'Psychological'];NOT_EXIST;['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka'];Gainax, Tatsunoko Production;ADV Films, GKIDS;['Miyamura, Yuko', 'Ogata, Megumi', 'Hayashibara, Megumi', 'Mitsuishi, Kotono', 'Ishida, Akira', 'Hayashibara, Megumi', 'Tachiki, Fumihiko', 'Yamadera, Kouichi', 'Yamaguchi, Yuriko', 'Seki, Tomokazu'];[{'name': 'Anno, Hideaki', 'role': 'Producer, Director, Script, Storyboard, Key Animation, Creator, Mechanical Design'}, {'name': 'Yamaga, Hiroyuki', 'role': 'Producer'}, {'name': 'Kobayashi, Noriko', 'role': 'Producer'}, {'name': 'Takahashi, Tomoko', 'role': 'Assistant Producer'}];8.34;#212;PG-13 - Teens 13 or older;98,959;#45;1,690,072;['Netflix'];"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.  Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.  A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.  [Written by MAL Rewrite]";Shinseiki Evangelion;新世紀エヴァンゲリオン
9;Death Parade;https://myanimelist.net/anime/28223/Death_Parade;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Jan 10, 2015 to Mar 28, 2015;12;TV;Original;['Drama', 'Supernatural', 'Suspense'];['Adult Cast', 'High Stakes Game', 'Psychological'];NOT_EXIST;['VAP', 'DAX Production', 'Nippon Television Network'];Madhouse;Funimation;['Maeno, Tomoaki', 'Seto, Asami', 'Ookubo, Rumi', 'Uchiyama, Kouki', 'Hosoya, Yoshimasa', 'Tanezaki, Atsumi', 'Shiraishi, Ryouko', 'Fujiwara, Keiji', 'Yuzuki, Ryouka', 'Genda, Tesshou'];[{'name': 'Nakatani, Toshio', 'role': 'Producer'}, {'name': 'Tachikawa, Yuzuru', 'role': 'Director, Episode Director, Storyboard, Series Composition, Screenplay, Original Creator'}, {'name': 'Motoyama, Satoshi', 'role': 'Sound Director'}, {'name': 'Watanabe, Shinichiro', 'role': 'Episode Director'}];8.16;#389;R - 17+ (violence & profanity);27,218;#49;1,665,082;['Crunchyroll', 'Funimation', '', ''];After death, either Heaven or Hell awaits most humans. But for a select few, death brings them to Quindecim—a bar where only pairs of people who die at the same time can enter. Attending the bar is an enigmatic figure known as Decim, who also acts as the arbiter. He passes judgment on those who wind up at Quindecim by challenging them to a life-threatening game. These games determine if the patron's soul will reincarnate into a new life, or be sent into the void, never to be seen again.  From darts and bowling to fighting games, the true nature of each patron slowly comes to light as they wager their souls. Though his methods remain unchanged, the sudden appearance of a black-haired amnesiac causes Decim to reevaluate his own rulings.  [Written by MAL Rewrite];NOT_EXIST;デス・パレード
10;Psycho-Pass;https://myanimelist.net/anime/13601/Psycho-Pass;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;23 min. per ep.;Finished Airing;Oct 12, 2012 to Mar 22, 2013;22;TV;Original;['Action', 'Sci-Fi', 'Suspense'];['Adult Cast', 'Detective', 'Psychological'];NOT_EXIST;['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings'];Production I.G;Funimation;['Seki, Tomokazu', 'Sakurai, Takahiro', 'Hanazawa, Kana', 'Nojima, Kenji', 'Ishida, Akira', 'Arimoto, Kinryuu', 'Sawashiro, Miyuki', 'Itou, Shizuka', 'Hidaka, Noriko', 'Yamaji, Kazuhiro'];[{'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Kawaguchi, Tooru', 'role': 'Producer'}, {'name': 'Morihiro, Fumi', 'role': 'Assistant Producer'}, {'name': 'Mori, Akitoshi', 'role': 'Assistant Producer'}];8.34;#213;R - 17+ (violence & profanity);37,410;#59;1,550,815;['Crunchyroll', 'Funimation', ''];"Justice, and the enforcement of it, has changed. In the 22nd century, Japan enforces the Sibyl System, an objective means of determining the threat level of each citizen by examining their mental state for signs of criminal intent, known as their Psycho-Pass. Inspectors uphold the law by subjugating, often with lethal force, anyone harboring the slightest ill-will; alongside them are Enforcers, jaded Inspectors that have become latent criminals, granted relative freedom in exchange for carrying out the Inspectors' dirty work.  Into this world steps Akane Tsunemori, a young woman with an honest desire to uphold justice. However, as she works alongside veteran Enforcer Shinya Kougami, she soon learns that the Sibyl System's judgments are not as perfect as her fellow Inspectors assume. With everything she has known turned on its head, Akane wrestles with the question of what justice truly is, and whether it can be upheld through the use of a system that may already be corrupt.  [Written by MAL Rewrite]";Psychopath;サイコパス
11;Mahou Shoujo Madoka★Magica;https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka%E2%98%85Magica;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jan 7, 2011 to Apr 22, 2011;12;TV;Original;['Award Winning', 'Drama', 'Suspense'];['Mahou Shoujo', 'Psychological'];NOT_EXIST;['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Nitroplus', 'Houbunsha'];Shaft;Aniplex of America;['Saitou, Chiwa', 'Yuuki, Aoi', 'Nonaka, Ai', 'Kitamura, Eri', 'Mizuhashi, Kaori', 'Katou, Emiri', 'Gotou, Yuuko', 'Shintani, Ryouko', 'Mizuhashi, Kaori'];[{'name': 'Iwakami, Atsuhiro', 'role': 'Producer'}, {'name': 'Mori, Yasunori', 'role': 'Producer'}, {'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}];8.36;#203;PG-13 - Teens 13 or older;52,016;#98;1,220,026;['Crunchyroll', 'Funimation', ''];Madoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer student.  Kyuubey offers them a proposition: he will grant any one of their wishes and in exchange, they will each become a magical girl, gaining enough power to fulfill their dreams. However, Homura Akemi, a magical girl herself, urges them not to accept the offer, stating that everything is not what it seems.  A story of hope, despair, and friendship, Mahou Shoujo Madoka★Magica deals with the difficulties of being a magical girl and the price one has to pay to make a dream come true.  [Written by MAL Rewrite];Mahou Shoujo Madoka Magika, Magical Girl Madoka Magica;魔法少女まどか★マギカ
12;Zankyou no Terror;https://myanimelist.net/anime/23283/Zankyou_no_Terror;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;22 min. per ep.;Finished Airing;Jul 11, 2014 to Sep 26, 2014;11;TV;Original;['Mystery', 'Suspense'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings'];MAPPA;Funimation;['Saitou, Souma', 'Ishikawa, Kaito', 'Sakuya, Shunsuke', 'Tanezaki, Atsumi', 'Han, Megumi', 'Kanuka, Mitsuaki', 'Satake, Uki', 'Aigasa, Keisuke', 'Tezuka, Hideaki', 'Takahashi, Daisuke'];[{'name': 'Ueda, Masuo', 'role': 'Producer'}, {'name': 'Kimura, Makoto', 'role': 'Producer'}, {'name': 'Ootsuka, Manabu', 'role': 'Producer'}, {'name': 'Fujiyama, Naokado', 'role': 'Assistant Producer'}];8.10;#467;R - 17+ (violence & profanity);21,274;#122;1,101,613;['Crunchyroll', 'Funimation', ''];"Painted in red, the word ""VON"" is all that is left behind after a terrorist attack on a nuclear facility in Japan. The government is shattered by their inability to act, and the police are left frantically searching for ways to crack down the perpetrators. The public are clueless—until, six months later, a strange video makes its way onto the internet. In it, two teenage boys who identify themselves only as ""Sphinx"" directly challenge the police, threatening to cause destruction and mayhem across Tokyo. Unable to stop the mass panic quickly spreading through the city and desperate for any leads in their investigation, the police struggle to act effectively against these terrorists, with Detective Kenjirou Shibazaki caught in the middle of it all.  Zankyou no Terror tells the story of Nine and Twelve, the two boys behind the masked figures of Sphinx. They should not exist, yet they stand strong in a world of deception and secrets while they make the city fall around them, all in the hopes of burying their own tragic truth.  [Written by MAL Rewrite]";Terror in Tokyo, Terror of Resonance;残響のテロル
13;Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season;https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;27 min. per ep.;Finished Airing;Jul 8, 2020 to Sep 30, 2020;13;TV;Light novel;['Drama', 'Fantasy', 'Suspense'];['Isekai', 'Psychological', 'Time Travel'];NOT_EXIST;['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa'];White Fox;None found, add some;['Takahashi, Rie', 'Kobayashi, Yuusuke', 'Minase, Inori', 'Sakamoto, Maaya', 'Arai, Satomi', 'Murakawa, Rie', 'Horie, Yui', 'Matsuoka, Yoshitsugu', 'Amasaki, Kouhei', 'Uchiyama, Yumi'];[{'name': 'Watanabe, Masaharu', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Aketagawa, Jin', 'role': 'Sound Director'}, {'name': 'Tsuchiya, Hiroyuki', 'role': 'Episode Director'}, {'name': 'Koga, Kazuomi', 'role': 'Episode Director'}];8.35;#210;R - 17+ (violence & profanity);11,205;#135;1,023,127;['Crunchyroll'];A reunion that was supposed to spell the arrival of peaceful times is quickly shattered when Subaru Natsuki and Emilia return to Irlam village. Witnessing the devastation left behind by the calamities known as Sin Archbishops, Subaru sinks into the depths of despair as his ability to redo proves futile.  As the group makes their way to the Sanctuary in search of answers, Subaru has an unexpected encounter with the Witch of Greed—Echidna. Subjected to her untamed rhythm, he is forced to dive into the spirals of the past and future. At the same time, several mysterious threats set their sights on the Sanctuary, heralding a horrific fate for the hapless people trapped within.  Everlasting contracts, past sins, and unrequited love will clash and submerge into a river of blood in the second season of Re:Zero kara Hajimeru Isekai Seikatsu. Pushed to the brink of hopelessness, how long will Subaru's resolve to save his loved ones last?  [Written by MAL Rewrite];Re: Life in a different world from zero 2nd Season, ReZero 2nd Season, Re:Zero - Starting Life in Another World 2;Re：ゼロから始める異世界生活
