;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Boku dake ga Inai Machi;https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min. per ep.;Finished Airing;Jan 8, 2016 to Mar 25, 2016;12;TV;Manga;['Mystery', 'Supernatural', 'Suspense'];['Psychological', 'Time Travel'];Seinen;['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one'];A-1 Pictures;Aniplex of America;['Mitsushima, Shinnosuke', 'Yuuki, Aoi', 'Takayama, Minami', 'Taichi, You', 'Akasaki, Chinatsu', 'Miyamoto, Mitsuru', 'Kitou, Akari', 'Mizushima, Takahiro', 'Okamura, Akemi', 'Nanase, Ayaka'];[{'name': 'Suzuki, Kenta', 'role': 'Producer'}, {'name': 'Itou, Tomohiko', 'role': 'Director'}, {'name': 'Iwanami, Yoshikazu', 'role': 'Sound Director'}, {'name': 'Ishii, Toshimasa', 'role': 'Episode Director, Storyboard, Assistant Director'}];8.31;#241;R - 17+ (violence & profanity);46,120;#30;1,965,124;['Crunchyroll', 'Funimation', ''];"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives.  However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right.  Boku dake ga Inai Machi follows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present.  [Written by MAL Rewrite]";The Town Where Only I am Missing, BokuMachi;僕だけがいない街
1;Yakusoku no Neverland;https://myanimelist.net/anime/37779/Yakusoku_no_Neverland;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;22 min. per ep.;Finished Airing;Jan 10, 2019 to Mar 29, 2019;12;TV;Manga;['Mystery', 'Sci-Fi', 'Suspense'];['Psychological', 'Survival'];Shounen;['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund'];CloverWorks;Aniplex of America;['Ise, Mariya', 'Uchida, Maaya', 'Morohoshi, Sumire', 'Kouno, Hiyori', 'Kaida, Yuuko', 'Fujita, Nao', 'Lynn', 'Ueki, Shinei', 'Ozawa, Ari', 'Kayano, Ai'];[{'name': 'Fukushima, Yuuichi', 'role': 'Producer'}, {'name': 'Suzuki, Kenta', 'role': 'Producer'}, {'name': 'Kanbe, Mamoru', 'role': 'Director, Storyboard'}, {'name': 'Shimizu, Katsunori', 'role': 'Sound Director'}];8.52;#115;R - 17+ (violence & profanity);32,041;#37;1,836,055;['Crunchyroll', 'Funimation', '', '', ''];"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage—a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family, never to be heard from again.  However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.  [Written by MAL Rewrite]";NOT_EXIST;約束のネバーランド
2;Another;https://myanimelist.net/anime/11111/Another;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Jan 10, 2012 to Mar 27, 2012;12;TV;Novel;['Horror', 'Mystery', 'Supernatural'];['Gore', 'School'];NOT_EXIST;['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo'];P.A. Works;Sentai Filmworks;['Takamori, Natsumi', 'Abe, Atsushi', 'Yonezawa, Madoka', 'Maeno, Tomoaki', 'Yamamoto, Kazutomi', 'Hirata, Hiroaki', 'Nonaka, Ai', 'Sakakibara, Naoko', 'Ichiki, Mitsuhiro'];[{'name': 'Horikawa, Kenji', 'role': 'Producer, Planning'}, {'name': 'Itou, Yoshiyuki', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Shinozaki, Fumihiko', 'role': 'Producer'}];7.48;#1810;R - 17+ (violence & profanity);16,885;#56;1,587,176;['Crunchyroll', 'Netflix'];"In class 3-3 of Yomiyama North Junior High, transfer student Kouichi Sakakibara makes his return after taking a sick leave for the first month of school. Among his new classmates, he is inexplicably drawn toward Mei Misaki—a reserved girl with an eyepatch whom he met in the hospital during his absence. But none of his classmates acknowledge her existence; they warn him not to acquaint himself with things that do not exist. Against their words of caution, Kouichi befriends Mei—soon learning of the sinister truth behind his friends' apprehension.  The ominous rumors revolve around a former student of the class 3-3. However, no one will share the full details of the grim event with Kouichi. Engrossed in the curse that plagues his class, Kouichi sets out to discover its connection to his new friend. As a series of tragedies arise around them, it is now up to Kouichi, Mei, and their classmates to unravel the eerie mystery—but doing so will come at a hefty price.  [Written by MAL Rewrite]";NOT_EXIST;アナザー
3;Kakegurui;https://myanimelist.net/anime/34933/Kakegurui;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jul 1, 2017 to Sep 23, 2017;12;TV;Manga;['Drama', 'Mystery'];['High Stakes Game', 'Psychological', 'School', 'Strategy Game'];Shounen;['Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'KlockWorx', 'DIVE II Entertainment', '81 Produce', 'Avex Pictures', 'FuRyu'];MAPPA;Sentai Filmworks;['Hayami, Saori', 'Tanaka, Minami', 'Tokutake, Tatsuya', 'Ise, Mariya', 'Sawashiro, Miyuki', 'Udono, Mayu', 'Sawashiro, Miyuki', 'Serizawa, Yuu', 'Wakai, Yuuki', 'Sugita, Tomokazu'];[{'name': 'Hayashi, Yuuichirou', 'role': 'Director, Episode Director, Storyboard, Key Animation'}, {'name': 'Fujita, Akiko', 'role': 'Sound Director'}, {'name': 'Yamamoto, Sayo', 'role': 'Episode Director, Storyboard'}, {'name': 'Oohashi, Kazuki', 'role': 'Episode Director'}];7.25;#2849;R - 17+ (violence & profanity);10,474;#77;1,388,170;['Netflix'];"Unlike many schools, attending Hyakkaou Private Academy prepares students for their time in the real world. Since many of the students are the children of the richest people in the world, the academy has its quirks that separate it from all the others. By day, it is a normal school, educating its pupils in history, languages, and the like. But at night, it turns into a gambling den, educating them in the art of dealing with money and manipulating people. Money is power; those who come out on top in the games stand at the top of the school.  Yumeko Jabami, a seemingly naive and beautiful transfer student, is ready to try her hand at Hyakkaou's special curriculum. Unlike the rest, she doesn't play to win, but for the thrill of the gamble, and her borderline insane way of gambling might just bring too many new cards to the table.  [Written by MAL Rewrite]";Kakegurui: Compulsive Gambler, Gambling School;賭ケグルイ
4;Durarara!!;https://myanimelist.net/anime/6746/Durarara;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Jan 8, 2010 to Jun 25, 2010;24;TV;Light novel;['Action', 'Mystery', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'ASCII Media Works', 'Sakura Create'];Brain's Base;Aniplex of America;['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Miyano, Mamoru', 'Toyonaga, Toshiyuki', 'Hanazawa, Kana', 'Onosaka, Masaya', 'Aoki, Sayaka', 'Fukuyama, Jun', 'Kuroda, Takaya'];[{'name': 'Kananiwa, Kozue', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}, {'name': 'Matsumoto, Miho', 'role': 'Assistant Producer'}, {'name': 'Oomori, Takahiro', 'role': 'Director, Sound Director, Episode Director, Storyboard, Sound Supervisor'}];8.11;#446;R - 17+ (violence & profanity);29,661;#83;1,349,507;['Funimation', 'Netflix'];"In Tokyo's downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless ""Black Rider"" who is said to be seen driving a jet-black motorcycle through the city streets.  Mikado Ryuugamine has always longed for the excitement of the city life, and an invitation from a childhood friend convinces him to move to Tokyo. Witnessing the Black Rider on his first day in the city, his wishes already seem to have been granted. But as supernatural events begin to occur, ordinary citizens like himself, along with Ikebukuro's most colorful inhabitants, are mixed up in the commotion breaking out in their city.  [Written by MAL Rewrite]";Dhurarara!!, Dyurarara!!, Dulalala!!, Dullalala!!, DRRR!!;デュラララ!!
5;Bakemonogatari;https://myanimelist.net/anime/5081/Bakemonogatari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;25 min. per ep.;Finished Airing;Jul 3, 2009 to Jun 25, 2010;15;TV;Light novel;['Mystery', 'Romance', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Kodansha'];Shaft;Aniplex of America;['Saitou, Chiwa', 'Kamiya, Hiroshi', 'Horie, Yui', 'Katou, Emiri', 'Sawashiro, Miyuki', 'Hanazawa, Kana', 'Sakurai, Takahiro', 'Kitamura, Eri', 'Iguchi, Yuka'];[{'name': 'Iwakami, Atsuhiro', 'role': 'Producer'}, {'name': 'Kubota, Mitsutoshi', 'role': 'Producer'}, {'name': 'Ooshima, Miku', 'role': 'Assistant Producer'}, {'name': 'Shinbou, Akiyuki', 'role': 'Director, Series Composition, Animation Check'}];8.33;#222;R - 17+ (violence & profanity);47,770;#84;1,342,778;['Crunchyroll', 'Funimation', ''];Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa.  When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament.  Through several tales involving demons and gods, Bakemonogatari follows Araragi as he attempts to help those who suffer from supernatural maladies.  [Written by MAL Rewrite];Ghostory, Monstory;化物語
6;Hyouka;https://myanimelist.net/anime/12189/Hyouka;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;25 min. per ep.;Finished Airing;Apr 23, 2012 to Sep 17, 2012;22;TV;Novel;['Mystery', 'Slice of Life'];NOT_EXIST;NOT_EXIST;['Lantis', 'Kadokawa Shoten', 'KlockWorx', 'chara-ani.com', 'Animation Do'];Kyoto Animation;Funimation;['Nakamura, Yuuichi', 'Satou, Satomi', 'Sakaguchi, Daisuke', 'Kayano, Ai', 'Yukana', 'Yukino, Satsuki', 'Hayami, Saori', 'Ise, Mariya', 'Okiayu, Ryoutarou', 'Taniyama, Kishou'];[{'name': 'Hatta, Hideaki', 'role': 'Producer'}, {'name': 'Saitou, Shigeru', 'role': 'Producer'}, {'name': 'Itou, Makoto', 'role': 'Producer'}, {'name': 'Takemoto, Yasuhiro', 'role': 'Director, Episode Director, Storyboard'}];8.08;#490;PG-13 - Teens 13 or older;26,069;#89;1,298,898;['Crunchyroll', 'Funimation'];High school freshman Houtarou Oreki has but one goal: to lead a gray life while conserving as much energy as he can. Unfortunately, his peaceful days come to an end when his older sister, Tomoe, forces him to save the memberless Classics Club from disbandment.  Luckily, Oreki's predicament seems to be over when he heads to the clubroom and discovers that his fellow first-year, Eru Chitanda, has already become a member. However, despite his obligation being fulfilled, Oreki finds himself entangled by Chitanda's curious and bubbly personality, soon joining the club of his own volition.  Hyouka follows the four members of the Classics Club—including Oreki's friends Satoshi Fukube and Mayaka Ibara—as they, driven by Chitanda's insatiable curiosity, solve the trivial yet intriguing mysteries that permeate their daily lives.  [Written by MAL Rewrite];Hyou-ka, Hyouka: You can't escape, Hyou-ka: You can't escape, Hyoka;氷菓
7;Bungou Stray Dogs;https://myanimelist.net/anime/31478/Bungou_Stray_Dogs;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Apr 7, 2016 to Jun 23, 2016;12;TV;Manga;['Action', 'Mystery', 'Supernatural'];['Adult Cast', 'Organized Crime', 'Super Power'];Seinen;['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL'];Bones;Funimation, Crunchyroll;['Miyano, Mamoru', 'Uemura, Yuuto', 'Taniyama, Kishou', 'Kamiya, Hiroshi', 'Ono, Kensho', 'Hanazawa, Kana', 'Shimamura, Yuu', 'Morohoshi, Sumire', 'Hosoya, Yoshimasa', 'Kagura, Kitsune'];[{'name': 'Bezerra, Wendel', 'role': 'Producer'}, {'name': 'Suzuki, Mari', 'role': 'Producer'}, {'name': 'Simone, Jamie', 'role': 'Producer'}, {'name': 'Kurakane, Chiaki', 'role': 'Producer'}];7.82;#880;R - 17+ (violence & profanity);24,615;#92;1,274,447;['Crunchyroll', 'Funimation'];For weeks, Atsushi Nakajima's orphanage has been plagued by a mystical tiger that only he seems to be unaware of. Suspected to be behind the strange incidents, the 18-year-old is abruptly kicked out of the orphanage and left hungry, homeless, and wandering through the city.  While starving on a riverbank, Atsushi saves a rather eccentric man named Osamu Dazai from drowning. Whimsical suicide enthusiast and supernatural detective, Dazai has been investigating the same tiger that has been terrorizing the boy. Together with Dazai's partner Doppo Kunikida, they solve the mystery, but its resolution leaves Atsushi in a tight spot. As various odd events take place, Atsushi is coerced into joining their firm of supernatural investigators, taking on unusual cases the police cannot handle, alongside his numerous enigmatic co-workers.  [Written by MAL Rewrite];bsd;文豪ストレイドッグス
8;Made in Abyss;https://myanimelist.net/anime/34599/Made_in_Abyss;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;25 min. per ep.;Finished Airing;Jul 7, 2017 to Sep 29, 2017;13;TV;Web manga;['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'];['Gore', 'Survival'];NOT_EXIST;['Media Factory', 'AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'IRMA LA DOUCE'];Kinema Citrus;Sentai Filmworks;['Ise, Mariya', 'Tomita, Miyu', 'Izawa, Shiori', 'Morikawa, Toshiyuki', 'Ohara, Sayaka', 'Kitamura, Eri', 'Sakamoto, Maaya', 'Toyosaki, Aki', 'Murata, Taishi', 'Hanawa, Manami'];[{'name': 'Ogata, Mitsuhiro', 'role': 'Producer'}, {'name': 'Isogai, Noritomo', 'role': 'Producer'}, {'name': 'Kojima, Masayuki', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Yamada, Haru', 'role': 'Sound Director'}];8.66;#61;R - 17+ (violence & profanity);41,205;#93;1,268,470;['Crunchyroll', 'HIDIVE', ''];The Abyss—a gaping chasm stretching down into the depths of the earth, filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals, known as Divers, have sought to solve these mysteries of the Abyss, fearlessly descending into its darkest realms. The best and bravest of the Divers, the White Whistles, are hailed as legends by those who remain on the surface.  Riko, daughter of the missing White Whistle Lyza the Annihilator, aspires to become like her mother and explore the furthest reaches of the Abyss. However, just a novice Red Whistle herself, she is only permitted to roam its most upper layer. Even so, Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg, and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss, the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However, they know not of the harsh reality that is the true existence of the Abyss.  [Written by MAL Rewrite];NOT_EXIST;メイドインアビス
9;Kuroshitsuji;https://myanimelist.net/anime/4898/Kuroshitsuji;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Oct 3, 2008 to Mar 27, 2009;24;TV;Manga;['Action', 'Comedy', 'Mystery', 'Supernatural'];['Historical', 'Mythology'];Shounen;['Aniplex', 'Square Enix', 'Yomiko Advertising', 'Mainichi Broadcasting System', 'Movic', 'Trinity Sound'];A-1 Pictures;Funimation, Aniplex of America;['Ono, Daisuke', 'Sakamoto, Maaya', 'Fukuyama, Jun', 'Suwabe, Junichi', 'Kaji, Yuuki', 'Katou, Emiri', 'Tamura, Yukari', 'Sugiyama, Noriaki', 'Katsu, Anri', 'Park, Romi'];[{'name': 'Maruyama, Hiroo', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Assistant Producer'}, {'name': 'Shinohara, Toshiya', 'role': 'Director'}, {'name': 'Tsuda, Naokatsu', 'role': 'Episode Director'}];7.67;#1225;R - 17+ (violence & profanity);21,898;#113;1,124,936;['Funimation', 'Netflix'];"Young Ciel Phantomhive is known as ""the Queen's Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye?  In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart.  [Written by MAL Rewrite]";Kuro Shitsuji, Kuroshitsuzi;黒執事
10;Zankyou no Terror;https://myanimelist.net/anime/23283/Zankyou_no_Terror;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;22 min. per ep.;Finished Airing;Jul 11, 2014 to Sep 26, 2014;11;TV;Original;['Mystery', 'Suspense'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings'];MAPPA;Funimation;['Saitou, Souma', 'Ishikawa, Kaito', 'Sakuya, Shunsuke', 'Tanezaki, Atsumi', 'Han, Megumi', 'Kanuka, Mitsuaki', 'Satake, Uki', 'Aigasa, Keisuke', 'Tezuka, Hideaki', 'Takahashi, Daisuke'];[{'name': 'Ueda, Masuo', 'role': 'Producer'}, {'name': 'Kimura, Makoto', 'role': 'Producer'}, {'name': 'Ootsuka, Manabu', 'role': 'Producer'}, {'name': 'Fujiyama, Naokado', 'role': 'Assistant Producer'}];8.10;#467;R - 17+ (violence & profanity);21,274;#122;1,101,706;['Crunchyroll', 'Funimation', ''];"Painted in red, the word ""VON"" is all that is left behind after a terrorist attack on a nuclear facility in Japan. The government is shattered by their inability to act, and the police are left frantically searching for ways to crack down the perpetrators. The public are clueless—until, six months later, a strange video makes its way onto the internet. In it, two teenage boys who identify themselves only as ""Sphinx"" directly challenge the police, threatening to cause destruction and mayhem across Tokyo. Unable to stop the mass panic quickly spreading through the city and desperate for any leads in their investigation, the police struggle to act effectively against these terrorists, with Detective Kenjirou Shibazaki caught in the middle of it all.  Zankyou no Terror tells the story of Nine and Twelve, the two boys behind the masked figures of Sphinx. They should not exist, yet they stand strong in a world of deception and secrets while they make the city fall around them, all in the hopes of burying their own tragic truth.  [Written by MAL Rewrite]";Terror in Tokyo, Terror of Resonance;残響のテロル
11;Monster;https://myanimelist.net/anime/19/Monster;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 7, 2004 to Sep 28, 2005;74;TV;Manga;['Drama', 'Mystery', 'Suspense'];['Adult Cast', 'Psychological'];Seinen;['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network'];Madhouse;VIZ Media;['Sasaki, Nozomu', 'Kiuchi, Hidenobu', 'Noto, Mamiko', 'Tanaka, Hideyuki', 'Isobe, Tsutomu', 'Koyama, Mami', 'Takeuchi, Junko', 'Ikeda, Shuuichi', 'Nagai, Ichiro', 'Katsube, Nobuyuki'];[{'name': 'Maruyama, Masao', 'role': 'Producer'}, {'name': 'Tamura, Manabu', 'role': 'Producer'}, {'name': 'Kobayashi, Mikiko', 'role': 'Assistant Producer'}, {'name': 'Kojima, Masayuki', 'role': 'Director, Episode Director, Storyboard, Key Animation'}];8.86;#26;R+ - Mild Nudity;45,437;#144;981,421;[];"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.  So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director.  Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.  [Written by MAL Rewrite]";NOT_EXIST;モンスター
12;Darker than Black: Kuro no Keiyakusha;https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Apr 6, 2007 to Sep 28, 2007;25;TV;Original;['Action', 'Mystery', 'Sci-Fi'];NOT_EXIST;NOT_EXIST;['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Myrica Music'];Bones;Funimation;['Kiuchi, Hidenobu', 'Fukuen, Misato', 'Sawaki, Ikuya', 'Mizuki, Nana', 'Ikeda, Masaru', 'Kawakami, Tomoko', 'Inoue, Kazuhiko', 'Asai, Kiyomi', 'Shindo, Naomi', 'Matsumoto, Yasunori'];[{'name': 'Cook, Justin', 'role': 'Producer'}, {'name': 'Harp, Clarine', 'role': 'Producer'}, {'name': 'Oyabu, Yoshihiro', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}];8.07;#502;R - 17+ (violence & profanity);16,311;#158;906,710;[];"It has been 10 years since Heaven's Gate appeared in South America and Hell's Gate appeared in Japan, veiling the once familiar night sky with an oppressive skyscape. Their purposes unknown, these Gates are spaces in which the very laws of physics are ignored. With the appearance of the Gates emerged Contractors, who, in exchange for their humanity, are granted supernatural abilities.  In the Japanese city surrounding Hell’s Gate, Section 4 Chief Misaki Kirihara finds herself at odds with an infamous Contractor codenamed Hei. Called ""Black Reaper"" in the underground world, Hei, like his associates, undertakes missions for the mysterious and ruthless Syndicate while slowly peeling back the dark layers covering a nefarious plot that threatens the very existence of Contractors.  From the mind of Tensai Okamura comes a sci-fi thriller taking the form of a subtle exposé on a war in which political positions and justice have no sway—a war waged exclusively in the shadows.  [Written by MAL Rewrite]";DTB;Darker than BLACK -黒の契約者-
13;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation;https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Jul 5, 2013 to Sep 27, 2013;13;TV;Visual novel;['Horror', 'Mystery'];['High Stakes Game', 'Psychological', 'School', 'Survival'];NOT_EXIST;['Geneon Universal Entertainment', 'Studio Hibari', 'Mainichi Broadcasting System', 'Showgate'];Lerche;Funimation;['Hikasa, Youko', 'Ooyama, Nobuyo', 'Ogata, Megumi', 'Toyoguchi, Megumi', 'Shiina, Hekiru', 'Sawashiro, Miyuki', 'Ishida, Akira', 'Miyata, Kouki', 'Toriumi, Kousuke', 'Saitou, Chiwa'];[{'name': 'Maeda, Toshihiro', 'role': 'Producer'}, {'name': 'Kishi, Seiji', 'role': 'Director'}, {'name': 'Oohashi, Akiyo', 'role': 'Episode Director'}, {'name': 'Tatum, John Michael', 'role': 'Script'}];7.22;#3007;R - 17+ (violence & profanity);8,097;#164;898,429;['Crunchyroll', 'Funimation'];Makoto Naegi, a teenager with no remarkable talent, is surprised to learn that he has been accepted into Hope's Peak Private Academy: an elite school that gathers the best students from various fields. Despite believing his admission was just a fluke, Naegi is delighted to attend an institution known for ensuring success to those who graduate. Determined, he enters the front doors of the prestigious academy.  However, after losing consciousness inside, Naegi wakes up in a seemingly abandoned classroom. Failing to comprehend how he got there, Naegi begins to explore, and to his surprise, finds his classmates assembled in the gym. While everyone is trying to figure out what happened, they are confronted by the school principal—Monokuma, a robotic teddy bear. The mysterious toy explains that the freshmen are trapped inside the school with only one means of escape—kill a classmate without being discovered.  Tension fills the air as Naegi and his classmates realize that they are faced with two choices: participate in Monokuma's killing game, or reside together in the school for the rest of their lives.  [Written by MAL Rewrite];Dangan Ronpa: The Animation;ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION
14;Black Bullet;https://myanimelist.net/anime/20787/Black_Bullet;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 8, 2014 to Jul 1, 2014;13;TV;Light novel;['Action', 'Mystery', 'Sci-Fi'];NOT_EXIST;NOT_EXIST;['Geneon Universal Entertainment', 'AT-X', 'Showgate', 'NBCUniversal Entertainment Japan'];Kinema Citrus, Orange;Sentai Filmworks;['Hidaka, Rina', 'Kaji, Yuuki', 'Kurosawa, Tomoyo', 'Horie, Yui', 'Koyama, Rikiya', 'Ogura, Yui', 'Yuuki, Aoi', 'Kaida, Yuuko', 'Han, Megumi', 'Kayano, Ai'];[{'name': 'Ogura, Mitsutoshi', 'role': 'Producer'}, {'name': 'Yamazaki, Fumiki', 'role': 'Producer'}, {'name': 'Yamazaki, Asuka', 'role': 'Producer'}, {'name': 'Kojima, Masayuki', 'role': 'Director, Episode Director, Storyboard, Key Animation'}];7.10;#3634;R - 17+ (violence & profanity);3,687;#167;887,314;['Crunchyroll', 'Netflix'];"In the year 2021, a parasitic virus known as ""Gastrea"" infects humans and turns them into monsters. What is left of mankind now lives within the Monolith walls, walls that are made of Varanium, the only material that can hurt Gastrea.  To counter the threat that the Gastrea pose, ""Cursed Children""—female children whose bodies contain trace amounts of the virus which grant them superhuman abilities—officially called Initiators by the Tendo Civil Security, are given partners called Promoters, people who work to guide and protect the young Initiators. These teams of two are sent out on missions to fight the monsters created by the Gastrea virus and keep them at bay.  Black Bullet revolves around the team of Enju Aihara, an Initiator, and Satomi Rentaro, a Promoter, as they go on missions to fight the growing threat of Gastrea in their hometown of Tokyo.  [Written by MAL Rewrite]";NOT_EXIST;ブラック・ブレット　BLACK BULLET　［黒の銃弾］
