;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Boku no Pico;https://myanimelist.net/anime/1639/Boku_no_Pico;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;32 min.;Finished Airing;Sep 7, 2006;1;OVA;Original;['Boys Love', 'Hentai'];NOT_EXIST;NOT_EXIST;['Natural High'];Sugar Boy, Blue Cat;None found, add some;['Sakou, Mariko'];[{'name': 'Yatabe, Katsuyoshi', 'role': 'Director'}, {'name': 'Takayama, Katsuhiko', 'role': 'Script'}, {'name': 'Pico', 'role': 'Theme Song Performance'}, {'name': 'Yoshiten', 'role': 'Character Design, Animation Director'}];4.23;N/A;Rx - Hentai;1,699;#1239;175,166;[];Upbeat and effeminate Pico is working at his grandfather's coffee shop, Café Bebe, for the summer. Tamotsu is a white-collar worker looking for an escape from the mundanity of his everyday life. When they meet at the café, sparks of love and lust quickly draw the two together. Conventional notions of age, gender, and sexuality are broken down as the pair seeks carnal gratification in one another's company. But do the pleasures of flesh equate to a connection between hearts?  [Written by MAL Rewrite];Boku no Piko, My Pico, Boku no Pico OVA 1 - My Pico;ぼくのぴこ
1;Overflow;https://myanimelist.net/anime/40746/Overflow;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;7 min. per ep.;Finished Airing;Jan 6, 2020 to Feb 24, 2020;8;ONA;Manga;['Romance', 'Hentai'];NOT_EXIST;NOT_EXIST;['Studio Mausu', 'Suiseisha'];Studio Hokiboshi;None found, add some;['Tamiyasu, Tomoe', 'Kadowaki, Mai', 'Sada, Naohiro'];[{'name': 'Ishigura, Rei', 'role': 'Director'}, {'name': 'Enomoto, Takahiro', 'role': 'Sound Director'}, {'name': 'Kanbara, Toshiaki', 'role': 'Episode Director'}, {'name': 'Kurosaki, Eiyo', 'role': 'Script'}];7.22;N/A;Rx - Hentai;1,203;#1526;132,848;[];Kazushi Sudou is a university student who is visited by his two childhood friends, the sisters Ayane and Kotone Shirakawa. When Ayane discovers that Kazushi not only forgot to buy her pudding but is also using her special lotion in the bath, she decides to take revenge and join Kazushi in his bath along with Kotone. Will the perverted Kazushi be able to remain indifferent to them both?  [Written by MAL Rewrite];NOT_EXIST;おーばーふろぉ
2;Euphoria;https://myanimelist.net/anime/10851/Euphoria;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;29 min. per ep.;Finished Airing;Dec 11, 2011 to Feb 26, 2016;6;OVA;Visual novel;NOT_EXIST;NOT_EXIST;NOT_EXIST;['None found', 'add some'];Majin;None found, add some;['Aoba, Ringo', 'Mizuguchi, Matsuri', 'Ichiki, Mitsuhiro', 'Tomonaga, Maki', 'Misonoo, Mei', 'Fujimori, Yukina', 'Hirayama, Yukari'];[{'name': 'Matano, Ryuuzou', 'role': 'Director'}, {'name': 'Kunio, Ayano', 'role': 'Director'}, {'name': 'Aoba, Ringo', 'role': 'Theme Song Performance'}, {'name': 'CLOCKUP', 'role': 'Original Creator'}];5.87;N/A;Rx - Hentai;701;#2205;78,761;[];"Keisuke Takatou wakes up in a featureless white room, unaware of how and when he arrived. While exploring his whereabouts, he notices six familiar girls huddled around a large monitor—his childhood friend Kanae Hokari, the class president Miyakou Ando, his English teacher Natsuki Aoi, his junior Rika Makiba, and his classmates Rinne Byakuya and Nemu Manaka.  As they attempt to make sense of their current situation, a voice suddenly declares through the monitor, ""The game will now begin."" The rules of the game are simple yet brutal; assigned as the ""unlocker,"" Keisuke must select one of the girls as his ""keyhole"" and violate her in a specific manner. Only after he does this for five rounds will the group be promised freedom to the outside world.  Refusing to acknowledge the situation, Miyakou vehemently denies her participation. Suddenly, the entire room goes dark. When the lights come back on, Miyakou is strapped to an electric chair. ""Withdrawal from the game will result in death,"" announces the mysterious voice as the chair electrocutes her to death.  Left with no other option, the terrified captives concede, and thus begins the sadistic game that will awaken their carnal desires through pain—and pleasure.  [Written by MAL Rewrite]";NOT_EXIST;euphoria
3;Pico to Chico;https://myanimelist.net/anime/5391/Pico_to_Chico;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;36 min.;Finished Airing;Apr 19, 2007;1;OVA;Original;['Boys Love', 'Hentai'];NOT_EXIST;NOT_EXIST;['Natural High'];Sugar Boy, Blue Cat;None found, add some;['Sakou, Mariko'];[{'name': 'Yatabe, Katsuyoshi', 'role': 'Director'}, {'name': 'Yoneta', 'role': 'Episode Director'}, {'name': 'Takayama, Katsuhiko', 'role': 'Script'}, {'name': 'Pico', 'role': 'Theme Song Performance'}];4.35;N/A;Rx - Hentai;317;#2379;69,652;[];The crisp rays of summer sun find the effeminate Pico embroiled in yet another heated and lustful fling. While out biking, Pico meets and befriends Chico—a lively boy not much younger than him, but leagues behind in the affairs of the flesh. After the innocent Chico shows his sister in the midst of self-pleasure to Pico, Pico takes it upon himself to educate this confused youth.  [Written by MAL Rewrite];Boku no Piko OVA 2, Boku no Pico, Pico & Chico;ぴことちこ
4;A Kite;https://myanimelist.net/anime/320/A_Kite;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;26 min. per ep.;Finished Airing;Feb 25, 1998 to Oct 25, 1998;2;OVA;Original;['Action', 'Drama', 'Hentai'];['Detective', 'Gore'];NOT_EXIST;['Green Bunny', 'BEAM Entertainment'];Arms;Media Blasters;['Yoshida, Konami', 'Oyamada, Shingo', 'Shibusawa, Gorou'];[{'name': 'Umetsu, Yasuomi', 'role': 'Director, Storyboard, Creator, Character Design, Screenplay, Key Animation, Animation Director'}, {'name': 'Ishihama, Masashi', 'role': 'Original Character Design, Principle Drawing'}, {'name': 'Hata, Shouji', 'role': 'Recording'}, {'name': 'Kanbe, Hiroyuki', 'role': 'Key Animation'}];6.54;N/A;Rx - Hentai;297;#2470;65,509;[];"After her parents were brutally murdered, school girl Sawa was taken into custody by Akai and Kanie, a pair of detectives assigned to her case. Corrupt and immoral, they train the girl to become a weapon, dangling the promise of vengeance in front of the hapless orphan. From celebrities and politicians to influential businessmen, Sawa is tasked with assassinating targets selected arbitrarily by her crooked overseers. She executes every mission without fail, and her distinctive weapon has become infamous among the city's police officers.  Physically abused by Akai, who is no more righteous than her victims, Sawa begins to dream of a life unhindered by the shadow of her ""guardians."" One day, Sawa meets Oburi, a fellow orphan and vigilante. They quickly form a bond born of desperation and disgruntlement at the unjust world, envisioning a future free from the stain of murder.  [Written by MAL Rewrite]";NOT_EXIST;A KITE（カイト）
5;Bible Black;https://myanimelist.net/anime/368/Bible_Black;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;28 min. per ep.;Finished Airing;Jul 21, 2001 to Jun 25, 2003;6;OVA;Visual novel;NOT_EXIST;NOT_EXIST;NOT_EXIST;['Milky Animation Label', 'Active'];Studio Jam;Media Blasters;['Shirosaki, Michiru', 'Nishijima, Kaori', 'Futami, Nagisa', 'Kanbayashi, Haruna', 'Tokita, Osamu', 'Yuzuki, Kanan'];[{'name': 'Honda, Kazuyuki', 'role': 'Episode Director'}, {'name': 'Mutou, Yasuyuki', 'role': 'Script'}, {'name': 'Kokubunji, Sousuke', 'role': 'Storyboard'}, {'name': 'Sei Shoujo', 'role': 'Original Character Design, Original Creator'}];6.57;N/A;Rx - Hentai;526;#2484;65,051;[];"Every school has secrets, but few leave a stain that won't wash out. In a certain school, there was once a fun club centered around magic but had turned into murder and a lust for power. Sealed and willfully forgotten, the resulting evil of that day remained chained in the school's basement. Twelve years later, high school student Taki Minase, while inspecting the place where the incident took place, uncloaks the secret plastered in blood—a book of magic called ""Black Bible."" Trying his luck with its love curses, he soon finds out the magic proves real and easily penetrates the hearts and bodies of his fellow classmates.  The resulting intercourse leaves the student body very vocal, and Minase's acts do not go unnoticed. What was at first a simple stroke of curiosity becomes much larger and harder to control. Fully swallowed by the unshackled darkness, everyone he knows becomes a victim, including his childhood friend Kurumi Imari. Torn apart, Minase finally realizes his mistakes and that he must reverse them in time if he ever hopes for him and Imari to come together.  [Written by MAL Rewrite]";Bible Black: Night of the Walpulgiss;バイブルブラック
6;Pico x CoCo x Chico;https://myanimelist.net/anime/4866/Pico_x_CoCo_x_Chico;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;35 min.;Finished Airing;Oct 9, 2008;1;OVA;Original;['Boys Love', 'Hentai'];NOT_EXIST;NOT_EXIST;['Natural High'];Sugar Boy, Blue Cat;None found, add some;['Sakou, Mariko'];[{'name': 'Yatabe, Katsuyoshi', 'role': 'Director'}, {'name': 'Takayama, Katsuhiko', 'role': 'Script'}, {'name': 'Pico', 'role': 'Theme Song Performance'}, {'name': 'Yoshiten', 'role': 'Animation Director, Character Design'}];4.33;N/A;Rx - Hentai;322;#2485;65,032;[];The young couple Pico and Chico are out for a date in town when a chance encounter has them immediately seduced by the mysterious runaway named CoCo. Pico is instantly drawn in by CoCo's spiritual outlook and feminine charms, but little does he know that the swaying of his heart will fuel the sparks of jealousy, passion, and desperation between the trio, ready to engulf them in an inferno of arousal and anxiety at any moment.  Two may be company, but is three really a crowd?  [Written by MAL Rewrite];Boku no Pico OVA 3, Boku no Piko;ぴこ×CoCo×ちこ
7;Itadaki! Seieki♥;https://myanimelist.net/anime/22429/Itadaki_Seieki%E2%99%A5;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;23 min.;Finished Airing;Mar 28, 2014;1;OVA;Manga;['Supernatural', 'Hentai'];NOT_EXIST;NOT_EXIST;['Pashmina'];Peak Hunt;Kitty Media;['Kobayashi, Maki', 'Natsumura, Isuke'];[{'name': 'Ishige, Rui', 'role': 'Director, Episode Director, Script, Storyboard, Key Animation, Character Design, Animation Director'}, {'name': 'doumou', 'role': 'Original Creator'}];7.41;N/A;Rx - Hentai;765;#2486;64,988;[];"When Kanzaki receives a letter from Mari Setogaya asking to meet in their school's PE storage room during the lunch break, he believes he will be receiving a love confession. He turns up eagerly, only to be attacked by his supposed admirer. The beautiful girl tries to knock him unconscious, but when she fails miserably, she explains that she is a vampire and had wanted to feed on him. Feeling pity for her hopeless state, Kanzaki reluctantly yields and allows her to drink his blood.  As it turns out, Mari cannot stand the taste of raw blood but will perish without the nutrients it contains. Kanzaki is quick to find a solution, offering her a different bodily fluid to consume—and Setogaya instantly falls head over heels with this new flavor. The two soon start meeting regularly, and as time goes by, their relationship evolves into something more than just casual ""meals"" spent together.  [Written by MAL Rewrite]";NOT_EXIST;いただきっ! セーエキ♥
8;Eroge! H mo Game mo Kaihatsu Zanmai;https://myanimelist.net/anime/10779/Eroge_H_mo_Game_mo_Kaihatsu_Zanmai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;30 min. per ep.;Finished Airing;Aug 26, 2011 to Mar 25, 2016;6;OVA;Visual novel;NOT_EXIST;NOT_EXIST;NOT_EXIST;['None found', 'add some'];Collaboration Works;None found, add some;['Yoneshima, Nozomi', 'Misonoo, Mei', 'Kobayashi, Maki', 'Fujimori, Yukina', 'Majima, Junji', 'Hirayama, Yukari', 'Nakamura, Keiko', 'Hirayama, Yukari'];[{'name': 'Matano, Ryuuzou', 'role': 'Director'}, {'name': 'Hakudaku, Ouji', 'role': 'Episode Director'}, {'name': 'CLOCKUP', 'role': 'Original Creator'}, {'name': 'Hamashima, Shigeo', 'role': 'Original Character Design'}];7.55;N/A;Rx - Hentai;874;#2613;59,561;[];"Flower, a local game design studio, finds itself on the verge of shutting down. After its first release turned out to be a complete letdown, the studio is now struggling to make ends meet. The employees of this all-female company desperately need additional hands to help them finish a new project on time.  Tomoya Mochizuki's passion is erotic games, or ""erogames."" He can neither write scenarios nor program, and his artistic skills are quite frankly terrible. However, owing to his massive experience in the field, Nene Sonono—Flower's director—decides to hire him as a consultant.  The first thing Tomoya points out is that Flower's employees have no sexual experience; thus, their scenarios and sex scenes lack in-depth and firsthand expertise. Eager to learn and develop their professional skills, the girls embark on a crash course to grasp the essence of erogames. Under the attentive eye of Tomoya, they explore previously uncharted waters of sexual pleasure—all for the sake of the company's survival.  [Written by MAL Rewrite]";NOT_EXIST;えろげー! ～Hもゲームも開発三昧～
9;Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.;https://myanimelist.net/anime/36198/Omiai_Aite_wa_Oshiego_Tsuyoki_na_Mondaiji;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;4 min. per ep.;Finished Airing;Oct 2, 2017 to Dec 18, 2017;12;ONA;Web manga;['Romance', 'Hentai'];NOT_EXIST;Josei;['Studio Mausu'];Seven;None found, add some;['Furukawa, Tetsuto', 'Honizumi, Rina', 'Sakurai, Makoto'];[{'name': 'Miura, Saburou', 'role': 'Director, Series Composition'}, {'name': 'Hazuki, Saki', 'role': 'Theme Song Performance'}, {'name': 'Araki, Hideki', 'role': 'Animation Director'}, {'name': 'Horikawa, Kazuto', 'role': 'Editing, Director of Photography'}];5.63;N/A;Rx - Hentai;143;#2635;58,527;[];"Teacher Nano Saikawa hasn't given much thought to marriage, but her father's friend wants her to have a marriage interview with his son, Souichirou Takamiya. After the interview, they spend the day together. As they gradually become more comfortable with one another, Souichirou asks for her hand in marriage. Things quickly heat up between them, and the two wind up in bed together. However, when she removes his glasses, she discovers he is not Souichirou; he is actually one of her problem students, Souji Kuga!  Souji's explanation is watertight: when he realized his brother was to be Nano's intended, Souji posed as him in order to be with her. And what's more, he is even confident that his family will approve of their marriage. However, an illicit relationship with a student is the last thing Nano wants. But will she be able to resist his charms, especially when her body begins to ache for his?  [Written by MAL Rewrite]";My Marriage Partner is My Student, a Cocky Troublemaker, My Marriage Interview Partner is a Student, Strong, and a Problem Child;お見合い相手は教え子、強気な、問題児。
10;Oni Chichi;https://myanimelist.net/anime/6893/Oni_Chichi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;29 min. per ep.;Finished Airing;Oct 30, 2009 to May 28, 2010;2;OVA;Visual novel;NOT_EXIST;NOT_EXIST;NOT_EXIST;['81 Produce'];PoRO;None found, add some;['Igarashi, Hiromi', 'Mizusawa, Kei'];[{'name': 'Nobitome, Youta', 'role': 'Director, Episode Director, Key Animation'}, {'name': 'Pon', 'role': 'Script'}, {'name': 'Blue Gale', 'role': 'Original Creator'}, {'name': 'Kinohara, Hikaru', 'role': 'Character Design'}];6.90;N/A;Rx - Hentai;440;#2693;56,362;[];Marina and Airi's mother has left her husband, only to marry a younger man, Kouzou Akizuki. While Marina has accepted their new stepfather, Airi hates him for breaking their family. Furthermore, she soon finds out he is a sexual deviant, sniffing his underaged stepdaughters' underwear and secretly desiring to take their virginity. Their mother is often absent from home, allowing Kouzou to pursue his carnal pleasures to his heart's content.  Unable to resist the beauty of adolescent girls' bodies, Akizuki prepares a powerful aphrodisiac and uses it on Airi. Intoxicated with the drug, she can no longer control herself and gives in to her stepfather's perverted demands. She soon discovers the merits of this new relationship and plunges headlong into a whirlpool of sexual degeneracy.  Satisfied with the drug's irresistible effect, Kouzou proceeds to utilize it further, coercing various girls to quench his thirst in the most embarrassing ways.  [Written by MAL Rewrite];Oni Chichi;鬼父
11;Mankitsu Happening;https://myanimelist.net/anime/29575/Mankitsu_Happening;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;29 min. per ep.;Finished Airing;Mar 27, 2015 to Aug 28, 2015;4;OVA;Visual novel;NOT_EXIST;NOT_EXIST;NOT_EXIST;['None found', 'add some'];Collaboration Works;None found, add some;['Takashiro, Mitsu', 'Kawakoto, Yuika', 'Momoya, Minami', 'Kasuga, An'];[{'name': 'Matano, Ryuuzou', 'role': 'Director'}, {'name': 'Waffle', 'role': 'Original Creator'}, {'name': 'Citizen08', 'role': 'Character Design'}];7.70;N/A;Rx - Hentai;834;#2747;53,950;[];Keiichi Oyamada has a mysterious power that always makes him seem like a lucky pervert, as one way or another, he ends up having sexual intercourse with any female he meets. Due to this, he has never had a stable job as he continually gets fired from any place unfortunate enough to employ him.  One job opportunity arises when his best friend calls him to work at a manga cafe, which Keiichi reluctantly accepts. However, as soon as he starts his new job, he meets Rei Suzukawa, a fellow employee, and Kururu Hiiragi, his childhood friend. Both of them are very beautiful, and Keiichi fears that even they might not be spared by his lucky perverted powers.  [Written by MAL Rewrite];NOT_EXIST;漫喫ハプニング
12;Joshiochi!: 2-kai kara Onnanoko ga... Futtekita!?;https://myanimelist.net/anime/37281/Joshiochi__2-kai_kara_Onnanoko_ga_Futtekita;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;6 min. per ep.;Finished Airing;Jul 2, 2018 to Aug 27, 2018;9;ONA;Manga;['Comedy', 'Hentai'];NOT_EXIST;NOT_EXIST;['Tokyo MX', 'Suiseisha'];Ark;None found, add some;['Takahashi, Shinya'];[{'name': 'Yoshimoto, Kinji', 'role': 'Director'}, {'name': 'Enomoto, Takahiro', 'role': 'Sound Director'}, {'name': 'Hazuki, Saki', 'role': 'Theme Song Performance'}, {'name': 'Urushihara, Satoshi', 'role': 'Character Design'}];6.51;N/A;Rx - Hentai;217;#2752;53,745;[];The ceiling collapsed and a girl fell through from the second floor!?  Sousuke lives in a rundown apartment building where his only consolation is that the landlord is a beautiful woman and the girl who lives above him is cute. One day though, the ceiling above him creaks and... Bang! In from the second floor, directly above him, the cute girl comes crashing down on him…!?  In an erotic encounter that can only be classified as a miracle, hearts and bodies are connected by chance. Then for some reason, he starts to live with both of these beautiful women!? Under this one roof, just what exactly will become of this crowded love triangle...!?  (Source: Honey's Anime);What She Fell on Was the Tip of My Dick, Joshi Ochi! A Girl Fell from the 2nd Floor;じょしおちっ！～2階から女の子が…降ってきた！？～
13;Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi;https://myanimelist.net/anime/7748/Sono_Hanabira_ni_Kuchizuke_wo__Anata_to_Koibito_Tsunagi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;22 min.;Finished Airing;Jul 30, 2010;1;OVA;Visual novel;['Girls Love', 'Hentai'];NOT_EXIST;NOT_EXIST;['None found', 'add some'];ChuChu;None found, add some;['Anzu, Hana', 'Izumi, Ayaka'];[{'name': 'Sakoi, Masayuki', 'role': 'Director'}, {'name': 'Sakai, Kyuuta', 'role': 'Animation Director, Key Animation, Character Design'}, {'name': 'Peko', 'role': 'Original Character Design'}, {'name': 'Fuguriya', 'role': 'Original Creator'}];7.23;N/A;Rx - Hentai;474;#2805;51,908;[];Mai Sawaguchi and Reo Kawamura seem far from friends. Despite Mai constantly trying to get along with Reo, they always end up fighting. However, when Mai questions Reo on whether or not she hates her, Reo ends up confessing instead. Confused and surprised, Mai begins to wonder if she feels the same. After school, she meets Reo again, prepared to give an answer. Agreeing that their feelings are mutual, the two girls begin to use each other to fulfill their sexual desires.  [Written by MAL Rewrite];NOT_EXIST;その花びらにくちづけを　あなたと恋人つなぎ
14;Skirt no Naka wa Kedamono deshita.;https://myanimelist.net/anime/35629/Skirt_no_Naka_wa_Kedamono_deshita;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;4 min. per ep.;Finished Airing;Jul 3, 2017 to Sep 18, 2017;12;ONA;Manga;['Drama', 'Hentai'];NOT_EXIST;NOT_EXIST;['Picante Circus', 'Cloud22'];Magic Bus;None found, add some;['Satsuki, Shiori', 'Hanakage, Hotaru', 'Hara, Maika', 'Kanade, Kageto'];[{'name': 'Noshitani, Mitsutaka', 'role': 'Director, Episode Director, Storyboard'}, {'name': 'Hirasawa, Hisayoshi', 'role': 'Sound Director'}, {'name': 'Toda, Kazuhiro', 'role': 'Script, Series Composition'}, {'name': 'Hazuki, Saki', 'role': 'Theme Song Performance'}];5.42;N/A;Rx - Hentai;101;#2861;50,184;[];Shizuka Kominami is a shy college student who, despite her bashful demeanor, attends a college mixer. There, she meets Ryou Kirishima, a beautiful, confident woman whom she quickly befriends. After leaving the mixer together, the two spend the night talking and drinking. But when an inebriated Shizuka ends up at Ryou's apartment, one thing leads to another, and she finds herself being seduced by her new friend. And what's more, Ryou is actually a crossdressing man!  After a passion-filled night, Shizuka awakens to a note left by Ryou, promising more erotic moments between them later. How will Shizuka's newfound relationship with Ryou unfold?  [Written by MAL Rewrite];A Predator in a Skirt, There's a beast under the skirt, There Was a Beast Inside the Skirt;スカートの中はケダモノでした。
15;Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu;https://myanimelist.net/anime/7411/Kanojo_x_Kanojo_x_Kanojo__Sanshimai_to_no_DokiDoki_Kyoudou_Seikatsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;29 min. per ep.;Finished Airing;Dec 25, 2009 to May 20, 2011;3;OVA;Visual novel;NOT_EXIST;NOT_EXIST;NOT_EXIST;['Milky Animation Label', 'MS Pictures'];Studio Eromatick;Kitty Media;['Maeda, Yukie', 'Takada, Hatsumi', 'Motoi, Emi', 'Kitahara, Miwa', 'Kogure, Ema'];[{'name': 'Murakami, Kotaro', 'role': 'Producer'}, {'name': 'Murayama, Kousuke', 'role': 'Director, Episode Director, Storyboard, Key Animation, Animation Director, Character Design'}, {'name': 'Sekimachi, Taifuu', 'role': 'Script'}, {'name': 'Happoubi, Jin', 'role': 'Original Character Design'}];7.49;N/A;Rx - Hentai;561;#2889;49,320;[];Haruomi Shiki's peaceful life on a small island was shattered when a volcano erupted and destroyed his home. He goes to stay with a relative, where he meets the sexy sisters Natsumi, Akina, and Mafuyu Orifushi, who he immediately finds himself attracted to.  While staying there, he finds out that the father of the Orifushi household has died, and that Natsumi inherited their ice cream business, MinMin. Their district holds an annual competition involving all ice cream stores, which MinMin always wins. But this year, a new ice cream shop called 101 opens a branch in the district, and they are a competitor that could beat MinMin. On top of that, the quality of the ice cream produced by MinMin has been significantly reduced since their father died. Will they be able to overcome such a handicap? Only time will tell, but with Haruomi helping the sisters with the ice cream shop, and also fulfilling his more salacious desires with them, he will have his hands full in more ways than one!  [Written by MAL Rewrite];Girlfriend x Girlfriend x Girlfriend;彼女×彼女×彼女～三姉妹とのドキドキ共同生活～
16;Araiya-san!: Ore to Aitsu ga Onnayu de!?;https://myanimelist.net/anime/39337/Araiya-san__Ore_to_Aitsu_ga_Onnayu_de;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;7 min. per ep.;Finished Airing;Apr 8, 2019 to May 27, 2019;8;ONA;Manga;['Comedy', 'Romance', 'Hentai'];NOT_EXIST;NOT_EXIST;['Picante Circus'];Magic Bus;None found, add some;['Aoba, Ringo', 'Igasaki, Ayaka', 'Furukawa, Tetsuto', 'Arakawa, Kotetsu', 'Obana, Momoko'];[{'name': 'Noshitani, Mitsutaka', 'role': 'Director, Storyboard'}, {'name': 'Enomoto, Takahiro', 'role': 'Sound Director'}, {'name': 'Toda, Kazuhiro', 'role': 'Script, Series Composition'}, {'name': 'Toyo', 'role': 'Original Creator'}];6.59;N/A;Rx - Hentai;212;#3012;45,311;[];"""Is This Really Massage...?"" Souta started to work part-time at Sentou, which is his hometown, as a back washer, he ends up washing Aoi, who is his classmate but trying to cover her identity... As he massages her with days of hate from her harassment continues, He realized that Aoi has in love with him one-sided...! When he touches her hot skin, She realizes that the one who washes her is Souta. A love comedy between a clumsy guy and girl behind the red curtain!  (Source: MAL News)";Miss Washer!: Her and I in Female Bath!?;洗い屋さん! ~俺とアイツが女湯で!?~
17;Sensitive Pornograph;https://myanimelist.net/anime/741/Sensitive_Pornograph;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;30 min.;Finished Airing;Dec 20, 2004;1;OVA;Manga;['Boys Love', 'Comedy', 'Drama', 'Hentai'];NOT_EXIST;NOT_EXIST;['None found', 'add some'];Phoenix Entertainment;Media Blasters;['Taniyama, Kishou', 'Hiyama, Nobuyuki', 'Kawada, Shinji', 'Suzumura, Kenichi'];[{'name': 'Yoshida, Tomohiro', 'role': 'Sound Director'}, {'name': 'Gokurakuin, Sakurako', 'role': 'Original Character Design, Original Creator'}, {'name': 'Amano, Masamichi', 'role': 'Music'}, {'name': 'Mutou, Akiko', 'role': 'Sound Effects'}];6.66;N/A;Rx - Hentai;172;#3042;44,625;[];For four young men, love and intimacy are in the air, even though they may not be aware of it. Sensitive Pornograph holds within it two tales of sexual romance for two different couples of men. The first is a tale between two manga artists, Seiji Yamada and Sono Hanasaki. Both are familiar with each other's work, though upon meeting each other, Seiji is shocked to find out that Sono is actually a man, ten years his senior. Love quickly blossoms between the two, but will soon be tested when Seiji begins to hear rumors about Sono's past sexual exploits.  In the second tale, Koji Ueno is a part-time pet sitter, hired to take care of a rabbit named Aki for a new client. To Koji's complete surprise though, not only is there no rabbit in the house, but the only thing in the apartment is a bound and gagged man in the closet who says that he is Aki. More troubling than this is that Aki informs Koji that they are both in danger of upsetting the client, and the only way for Koji to get out safely is for them to make love together.  Two stories, four men, and the one emotion of love that unites them all in the new twists their lives have taken.;NOT_EXIST;センシティブ・ポルノグラフ
18;Souryo to Majiwaru Shikiyoku no Yoru ni...;https://myanimelist.net/anime/34823/Souryo_to_Majiwaru_Shikiyoku_no_Yoru_ni;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;4 min. per ep.;Finished Airing;Apr 3, 2017 to Jun 19, 2017;12;ONA;Manga;['Drama', 'Romance', 'Hentai'];NOT_EXIST;Josei;['Kujou-kun no Bonnou wo Mimamoru-kai', 'Cloud22'];Seven;None found, add some;['Suzuki, You', 'Hara, Maika', 'Kojita, Renya', 'Kurukuru, Paama', 'Akiyama, Nerine'];[{'name': 'Araki, Hideki', 'role': 'Director'}, {'name': 'Hirasawa, Hisayoshi', 'role': 'Sound Director'}, {'name': 'Takada, Makoto', 'role': 'Script, Series Composition'}, {'name': 'Horikawa, Kazuto', 'role': 'Editing, Director of Photography'}];4.68;N/A;Rx - Hentai;88;#3146;42,035;[];At a high school reunion, Mio Fukatani reunites with a classmate she has not seen in years—Takahide Kujou. She had always wanted to know more about the kind-hearted boy in high school, but once she realizes that Kujou has become a monk, she believes that any chance of getting to know him romantically is slim. Deciding to drink away her sorrows, she ends up walking home drunk, and surprisingly, running into Kujou who helps her get home.  However, once inside, Kujou's lust for Mio becomes apparent and the two share an erotic night of passion. As this steamy romance blossoms between these two unlikely lovers, Mio and Kujou will undoubtedly spend many nights together in utter ecstasy.  [Written by MAL Rewrite];NOT_EXIST;僧侶と交わる色欲の夜に…
