;title;link;image_link;duration;status;aired;episodes;type;source;genres;themes;demographic;producers;studios;licensors;voice_actors;staffs;score;ranked;rating;favorites;popularity;members;platforms;synopsis;synonyms;japanese
0;Shingeki no Kyojin;https://myanimelist.net/anime/16498/Shingeki_no_Kyojin;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;24 min. per ep.;Finished Airing;Apr 7, 2013 to Sep 29, 2013;25;TV;Manga;['Action', 'Award Winning', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];Shounen;['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise'];Wit Studio;Funimation;['Kaji, Yuuki', 'Ishikawa, Yui', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Ono, Daisuke', 'Park, Romi', 'Kobayashi, Yuu', 'Hosoya, Yoshimasa', 'Taniyama, Kishou', 'Shimamura, Yuu'];[{'name': 'Wada, Jouji', 'role': 'Producer'}, {'name': 'Nakatake, Tetsuya', 'role': 'Producer'}, {'name': 'Furukawa, Makoto', 'role': 'Producer'}, {'name': 'Kinoshita, Tetsuya', 'role': 'Producer'}];8.53;#110;R - 17+ (violence & profanity);161,525;#1;3,688,927;['Crunchyroll', 'Funimation', '', ''];Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.  After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.  [Written by MAL Rewrite];AoT, SnK;進撃の巨人
1;Kimetsu no Yaiba;https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;23 min. per ep.;Finished Airing;Apr 6, 2019 to Sep 28, 2019;26;TV;Manga;['Action', 'Award Winning', 'Fantasy'];NOT_EXIST;Shounen;['Aniplex', 'Shueisha'];ufotable;Aniplex of America;['Hanae, Natsuki', 'Shimono, Hiro', 'Matsuoka, Yoshitsugu', 'Kitou, Akari', 'Hino, Satoshi', 'Hayami, Saori', 'Sakurai, Takahiro', 'Ueda, Reina', 'Konishi, Katsuyuki', 'Hanazawa, Kana'];[{'name': 'Kondou, Hikaru', 'role': 'Producer, Sound Director, Series Composition'}, {'name': 'Miyake, Masanori', 'role': 'Producer'}, {'name': 'Fujio, Akifumi', 'role': 'Producer'}, {'name': 'Sotozaki, Haruo', 'role': 'Director, Episode Director, Storyboard'}];8.51;#124;R - 17+ (violence & profanity);86,602;#7;2,740,090;['Crunchyroll', 'Funimation', ''];Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.  When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.  [Written by MAL Rewrite];Blade of Demon Destruction;鬼滅の刃
2;Kimi no Na wa.;https://myanimelist.net/anime/32281/Kimi_no_Na_wa;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;1 hr. 46 min.;Finished Airing;Aug 26, 2016;1;Movie;Original;['Award Winning', 'Drama', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting'];CoMix Wave Films;Funimation, NYAV Post;['Kamishiraishi, Mone', 'Kamiki, Ryunosuke', 'Hanazawa, Kana', 'Nagasawa, Masami', 'Tani, Kanon', 'Narita, Ryou', 'Ichihara, Etsuko', 'Shimazaki, Nobunaga', 'Yuuki, Aoi', 'Ishikawa, Kaito'];[{'name': 'Bezerra, Wendel', 'role': 'Producer'}, {'name': 'Kawamura, Genki', 'role': 'Producer, Planning'}, {'name': 'Takei, Katsuhiro', 'role': 'Producer'}, {'name': 'Shinkai, Makoto', 'role': 'Director, Script, Storyboard, Director of Photography, Editing, Original Creator, Color Design'}];8.85;#27;PG-13 - Teens 13 or older;86,076;#11;2,552,065;['Netflix'];Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.  One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.  Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.  [Written by MAL Rewrite];NOT_EXIST;君の名は。
3;Jujutsu Kaisen;https://myanimelist.net/anime/40748/Jujutsu_Kaisen;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;23 min. per ep.;Finished Airing;Oct 3, 2020 to Mar 27, 2021;24;TV;Manga;['Action', 'Award Winning', 'Fantasy'];NOT_EXIST;Shounen;['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap'];MAPPA;VIZ Media;['Nakamura, Yuuichi', 'Enoki, Junya', 'Uchida, Yuuma', 'Seto, Asami', 'Suwabe, Junichi', 'Tsuda, Kenjirou', 'Komatsu, Mikako', 'Uchiyama, Kouki', 'Kimura, Subaru', 'Sakurai, Takahiro'];[{'name': 'Seshimo, Keisuke', 'role': 'Producer, Production Coordination'}, {'name': 'Kimura, Makoto', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Producer'}, {'name': 'Park, Seong-Hu', 'role': 'Director, Episode Director, Storyboard, Key Animation'}];8.65;#65;R - 17+ (violence & profanity);79,581;#17;2,189,341;['Crunchyroll', 'Funimation', ''];"Idly indulging in baseless paranormal activities with the Occult Club, high schooler Yuuji Itadori spends his days at either the clubroom or the hospital, where he visits his bedridden grandfather. However, this leisurely lifestyle soon takes a turn for the strange when he unknowingly encounters a cursed item. Triggering a chain of supernatural occurrences, Yuuji finds himself suddenly thrust into the world of Curses—dreadful beings formed from human malice and negativity—after swallowing the said item, revealed to be a finger belonging to the demon Sukuna Ryoumen, the ""King of Curses.""  Yuuji experiences first-hand the threat these Curses pose to society as he discovers his own newfound powers. Introduced to the Tokyo Metropolitan Jujutsu Technical High School, he begins to walk down a path from which he cannot return—the path of a Jujutsu sorcerer.  [Written by MAL Rewrite]";Sorcery Fight, JJK;呪術廻戦
4;Koe no Katachi;https://myanimelist.net/anime/28851/Koe_no_Katachi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;2 hr. 10 min.;Finished Airing;Sep 17, 2016;1;Movie;Manga;['Award Winning', 'Drama'];NOT_EXIST;Shounen;['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras'];Kyoto Animation;Eleven Arts, NYAV Post;['Hayami, Saori', 'Irino, Miyu', 'Yuuki, Aoi', 'Kaneko, Yuuki', 'Ono, Kensho', 'Kamata, Erena', 'Watanuki, Ryuunosuke', 'Yukino, Satsuki', 'Ishikawa, Yui', 'Toyonaga, Toshiyuki'];[{'name': 'Nakamura, Shinichi', 'role': 'Producer'}, {'name': 'Iizuka, Toshio', 'role': 'Producer'}, {'name': 'Tateishi, Kensuke', 'role': 'Producer'}, {'name': 'Senami, Riri', 'role': 'Assistant Producer'}];8.94;#18;PG-13 - Teens 13 or older;82,067;#19;2,153,023;['Netflix'];As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.  Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.  Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.  [Written by MAL Rewrite];The Shape of Voice;聲の形
5;Code Geass: Hangyaku no Lelouch;https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Oct 6, 2006 to Jul 29, 2007;25;TV;Original;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'School', 'Super Power'];NOT_EXIST;['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];Sunrise;Funimation, Bandai Entertainment;['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Minami, Omi', 'Minagawa, Junko', 'Nazuka, Kaori'];[{'name': 'Maseba, Yutaka', 'role': 'Producer'}, {'name': 'Taniguchi, Gorou', 'role': 'Director, Storyboard, Original Creator'}, {'name': 'Urakami, Yasuo', 'role': 'Sound Director'}, {'name': 'Izawa, Motoi', 'role': 'Sound Director'}];8.70;#53;R - 17+ (violence & profanity);104,237;#20;2,124,191;['Crunchyroll', 'Funimation', ''];"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence.  Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all.  [Written by MAL Rewrite]";NOT_EXIST;コードギアス 反逆のルルーシュ
6;Cowboy Bebop;https://myanimelist.net/anime/1/Cowboy_Bebop;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Apr 3, 1998 to Apr 24, 1999;26;TV;Original;['Action', 'Award Winning', 'Sci-Fi'];['Adult Cast', 'Space'];NOT_EXIST;['Bandai Visual'];Sunrise;Funimation, Bandai Entertainment;['Yamadera, Kouichi', 'Hayashibara, Megumi', 'Tada, Aoi', 'Ishizuka, Unshou', 'Yamadera, Kouichi', 'Wakamoto, Norio', 'Horiuchi, Kenyuu', 'Takashima, Gara', 'Ebara, Masashi', 'Ginga, Banjou'];[{'name': 'Maseba, Yutaka', 'role': 'Producer'}, {'name': 'Minami, Masahiko', 'role': 'Producer'}, {'name': 'Watanabe, Shinichiro', 'role': 'Director, Episode Director, Script, Storyboard'}, {'name': 'Kobayashi, Katsuyoshi', 'role': 'Sound Director'}];8.75;#39;R - 17+ (violence & profanity);77,319;#43;1,744,550;['Crunchyroll', 'Funimation', '', ''];Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.  Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi.  While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.  [Written by MAL Rewrite];NOT_EXIST;カウボーイビバップ
7;Sen to Chihiro no Kamikakushi;https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;2 hr. 4 min.;Finished Airing;Jul 20, 2001;1;Movie;Original;['Adventure', 'Award Winning', 'Supernatural'];NOT_EXIST;NOT_EXIST;['Toho'];Studio Ghibli;Disney Platform Distribution, GKIDS;['Irino, Miyu', 'Hiiragi, Rumi', 'Nakamura, Akio', 'Sugawara, Bunta', 'Tamai, Yumi', 'Natsuki, Mari', 'Yasuda, Ken', 'Natsuki, Mari'];[{'name': 'Suzuki, Toshio', 'role': 'Producer'}, {'name': 'Ishii, Tomohiko', 'role': 'Assistant Producer'}, {'name': 'Miyazaki, Hayao', 'role': 'Director, Script, Storyboard'}, {'name': 'Kimura, Youmi', 'role': 'Theme Song Composition, Theme Song Performance'}];8.78;#34;PG - Children;30,643;#44;1,733,189;['Netflix'];Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.  Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.  [Written by MAL Rewrite];Sen and Chihiro's Spiriting Away;千と千尋の神隠し
8;Neon Genesis Evangelion;https://myanimelist.net/anime/30/Neon_Genesis_Evangelion;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Oct 4, 1995 to Mar 27, 1996;26;TV;Original;['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense'];['Mecha', 'Psychological'];NOT_EXIST;['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka'];Gainax, Tatsunoko Production;ADV Films, GKIDS;['Miyamura, Yuko', 'Ogata, Megumi', 'Hayashibara, Megumi', 'Mitsuishi, Kotono', 'Ishida, Akira', 'Hayashibara, Megumi', 'Tachiki, Fumihiko', 'Yamadera, Kouichi', 'Yamaguchi, Yuriko', 'Seki, Tomokazu'];[{'name': 'Anno, Hideaki', 'role': 'Producer, Director, Script, Storyboard, Key Animation, Creator, Mechanical Design'}, {'name': 'Yamaga, Hiroyuki', 'role': 'Producer'}, {'name': 'Kobayashi, Noriko', 'role': 'Producer'}, {'name': 'Takahashi, Tomoko', 'role': 'Assistant Producer'}];8.34;#212;PG-13 - Teens 13 or older;98,959;#45;1,690,034;['Netflix'];"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.  Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.  A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.  [Written by MAL Rewrite]";Shinseiki Evangelion;新世紀エヴァンゲリオン
9;Code Geass: Hangyaku no Lelouch R2;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230404_20230329_readmanga_1.png;24 min. per ep.;Finished Airing;Apr 6, 2008 to Sep 28, 2008;25;TV;Original;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'Super Power'];NOT_EXIST;['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners'];Sunrise;Funimation, Bandai Entertainment;['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Mizushima, Takahiro', 'Minagawa, Junko', 'Nazuka, Kaori'];[{'name': 'Maseba, Yutaka', 'role': 'Producer'}, {'name': 'Maeda, Toshihiro', 'role': 'Assistant Producer'}, {'name': 'Taniguchi, Gorou', 'role': 'Director, Storyboard, Original Creator'}, {'name': 'Urakami, Yasuo', 'role': 'Sound Director'}];8.91;#21;R - 17+ (violence & profanity);73,878;#47;1,676,210;['Crunchyroll', 'Funimation', ''];One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt.  Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.  [Written by MAL Rewrite];Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season;コードギアス 反逆のルルーシュ 続編
10;Tengen Toppa Gurren Lagann;https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322230531_20230329_readmanga_2.png;24 min. per ep.;Finished Airing;Apr 1, 2007 to Sep 30, 2007;27;TV;Original;['Action', 'Adventure', 'Award Winning', 'Sci-Fi'];NOT_EXIST;NOT_EXIST;['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai'];Gainax;ADV Films, Bandai Entertainment, Aniplex of America;['Konishi, Katsuyuki', 'Sugou, Takayuki', 'Inoue, Marina', 'Fukui, Yukari', 'Hiyama, Nobuyuki', 'Taniyama, Kishou', 'Itou, Shizuka', 'Ikeda, Narushi', 'Onosaka, Masaya', 'Nakata, Jouji'];[{'name': 'Kamagata, Eiichi', 'role': 'Producer'}, {'name': 'Takeda, Yasuhiro', 'role': 'Producer'}, {'name': 'Akai, Takami', 'role': 'Producer'}, {'name': 'Shiraishi, Naoko', 'role': 'Producer, Production Manager'}];8.63;#73;PG-13 - Teens 13 or older;75,196;#64;1,530,886;['Crunchyroll', 'Funimation', ''];"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid young boy with no real aspirations. One day while excavating the earth, Simon stumbles upon a mysterious object that turns out to be the ignition key to an ancient artifact of war, which the duo dubs Lagann. Using their new weapon, Simon and Kamina fend off a surprise attack from the surface with the help of Yoko Littner, a hot-blooded redhead wielding a massive gun who wanders the world above.  In the aftermath of the battle, the sky is now in plain view, prompting Simon and Kamina to set off on a journey alongside Yoko to explore the wastelands of the surface. Soon, they join the fight against the ""Beastmen,"" humanoid creatures that terrorize the remnants of humanity in powerful robots called ""Gunmen."" Although they face some challenges and setbacks, the trio bravely fights these new enemies alongside other survivors to reclaim the surface, while slowly unraveling a galaxy-sized mystery.  [Written by MAL Rewrite]";Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL, Gurren Laggan;天元突破グレンラガン
11;Fullmetal Alchemist;https://myanimelist.net/anime/121/Fullmetal_Alchemist;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230313192021_20230315_ec-kimetsu-world-tour.jpg;24 min. per ep.;Finished Airing;Oct 4, 2003 to Oct 2, 2004;51;TV;Manga;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy'];NOT_EXIST;Shounen;['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System'];Bones;Funimation, Aniplex of America;['Park, Romi', 'Kugimiya, Rie', 'Ookawa, Tooru', 'Fujiwara, Keiji', 'Suwabe, Junichi', 'Neya, Michiko', 'Utsumi, Kenji', 'Toyoguchi, Megumi', 'Yamaguchi, Mayumi', 'Ebara, Masashi'];[{'name': 'Cook, Justin', 'role': 'Producer'}, {'name': 'Minami, Masahiko', 'role': 'Producer'}, {'name': 'Watson, Barry', 'role': 'Producer'}, {'name': 'Maruyama, Hiroo', 'role': 'Producer'}];8.12;#439;R - 17+ (violence & profanity);25,348;#75;1,413,795;['Netflix'];Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation, Edward loses his brother as well as two of his limbs. With his supreme alchemy skills, Edward binds Alphonse's soul to a large suit of armor.  A year later, Edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the Philosopher's Stone. The fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However, the Elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined.  [Written by MAL Rewrite];Hagane no Renkinjutsushi, FMA, Full Metal Alchemist;鋼の錬金術師
12;Spy x Family;https://myanimelist.net/anime/50265/Spy_x_Family;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;24 min. per ep.;Finished Airing;Apr 9, 2022 to Jun 25, 2022;12;TV;Manga;['Action', 'Award Winning', 'Comedy'];NOT_EXIST;Shounen;['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha'];Wit Studio, CloverWorks;None found, add some;['Tanezaki, Atsumi', 'Hayami, Saori', 'Eguchi, Takuya', 'Fujiwara, Natsumi', 'Ono, Kensho', 'Yoshino, Hiroyuki', 'Yamaji, Kazuhiro', 'Katou, Emiri', 'Kaida, Yuuko'];[{'name': 'Fukushima, Yuuichi', 'role': 'Producer'}, {'name': 'Nakatake, Tetsuya', 'role': 'Producer'}, {'name': 'Furuhashi, Kazuhiro', 'role': 'Director, Episode Director, Storyboard, Series Composition'}, {'name': 'Hata, Shouji', 'role': 'Sound Director'}];8.65;#68;PG-13 - Teens 13 or older;37,205;#91;1,287,888;['Crunchyroll', 'Netflix', '', '', '', '', '', '', '', '', '', '', '', '', ''];"Corrupt politicians, frenzied nationalists, and other warmongering forces constantly jeopardize the thin veneer of peace between neighboring countries Ostania and Westalis. In spite of their plots, renowned spy and master of disguise ""Twilight"" fulfills dangerous missions one after another in the hope that no child will have to experience the horrors of war.  In the bustling Ostanian city of Berlint, Twilight dons the alias of ""Loid Forger,"" an esteemed psychiatrist. However, his true intention is to gather intelligence on prominent politician Donovan Desmond, who only appears rarely in public at his sons' school: the prestigious Eden Academy. Enlisting the help of unmarried city hall clerk Yor Briar to act as his wife and adopting the curious six-year-old orphan Anya as his daughter, Loid enacts his master plan. He will enroll Anya in Eden Academy, where Loid hopes she will excel and give him the opportunity to meet Donovan without arousing suspicion.  Unfortunately for Loid, even a man of his talents has trouble playing the figure of a loving father and husband. And just like Loid is hiding his true identity, Yor—who is an underground assassin known as ""Thorn Princess""—and Anya—an esper who can read people's minds—have no plans to disclose their own secrets either. Although this picture-perfect family is founded on deception, the Forgers gradually come to understand that the love they share for one another trumps all else.  [Written by MAL Rewrite]";NOT_EXIST;SPY×FAMILY
13;Howl no Ugoku Shiro;https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230322180508_20230322_animeartacademy.png;1 hr. 59 min.;Finished Airing;Nov 20, 2004;1;Movie;Novel;['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance'];NOT_EXIST;NOT_EXIST;['d-rights', 'Tokuma Shoten'];Studio Ghibli;Disney Platform Distribution;['Kimura, Takuya', 'Baisho, Chieko', 'Gashuin, Tatsuya', 'Oizumi, Yo', 'Harada, Daijiro', 'Kamiki, Ryunosuke', 'Miwa, Akihiro', 'Katou, Haruko', 'Ootsuka, Akio'];[{'name': 'Suzuki, Toshio', 'role': 'Producer'}, {'name': 'Ishii, Tomohiko', 'role': 'Assistant Producer'}, {'name': 'Miyazaki, Hayao', 'role': 'Director, Script, Executive Producer, Screenplay'}, {'name': 'Toba, Yousuke', 'role': 'Episode Director'}];8.66;#64;G - All Ages;26,214;#95;1,230,041;['Netflix'];That jumbled piece of architecture, that cacophony of hissing steam and creaking joints, with smoke billowing from it as it moves on its own... That castle is home to the magnificent wizard Howl, infamous for both his magical prowess and for being a womanizer—or so the rumor goes in Sophie Hatter's small town. Sophie, as the plain daughter of a hatmaker, does not expect much from her future and is content with working hard in the shop.  However, Sophie's simple life takes a turn for the exciting when she is ensnared in a disturbing situation, and the mysterious wizard appears to rescue her. Unfortunately, this encounter, brief as it may be, spurs the vain and vengeful Witch of the Waste—in a fit of jealousy caused by a past discord with Howl—to put a curse on the maiden, turning her into an old woman.  In an endeavor to return to normal, Sophie must accompany Howl and a myriad of eccentric companions—ranging from a powerful fire demon to a hopping scarecrow—in his living castle, on a dangerous adventure as a raging war tears their kingdom apart.  [Written by MAL Rewrite];NOT_EXIST;ハウルの動く城
